ID Ally,Campo 2,Segundos,Tipificaciones,Minutos,Costo por llamada,Costo Total,Buzon,No_Definido,Otras
433433337311,Vencido,0,3. Contacto no definido,0,0,0,0,1,0
433433334650,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334550,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334135,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334152,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334276,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433335498,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433335631,Vencido,11,2. Usuario colgo la llamada,0.183333333,0.024,0.024,1,0,0
433433335857,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433335047,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433335069,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433335158,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433336278,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433337054,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433338688,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433338058,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433338246,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433339333,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433339339,Vencido,33,5. Otro,0.55,0.049,0.049,0,0,1
433433339550,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334225,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334226,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433335416,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433337081,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433338898,Vencido,4,2. Usuario colgo la llamada,0.066666667,0.024,0.024,1,0,0
433433339813,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433339092,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433335488,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433330402,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433333595,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433333974,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433333171,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433333188,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334361,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334476,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334597,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334668,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334905,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334219,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433335079,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433335070,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433336523,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433336609,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433336052,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433336237,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433337880,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433338340,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433338674,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433338728,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433338118,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433339733,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433339751,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433330363,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433334421,Vencido,,3. Contacto no definido,,0,0,0,1,0
433433333386,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333387,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333396,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333390,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333301,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333319,Vencida_Agencia,4,2. Usuario colgo la llamada,0.066666667,0.024,0.024,1,0,0
433433333326,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333439,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333453,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333497,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333534,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333552,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333511,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333649,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333685,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333689,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333629,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333733,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333746,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333785,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333796,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333877,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333887,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333889,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333969,Vencida_Agencia,26,2. Usuario colgo la llamada,0.433333333,0.024,0.024,1,0,0
433433333991,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333907,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
433433333918,Vencida_Agencia,,3. Contacto no definido,,0,0,0,1,0
